time/iterations,train/std,time/total_timesteps,train/n_updates,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/time_elapsed,train/value_loss,train/reward
100,1.0008597373962402,500,99,-41.16429901123047,0.0007,216,-0.027137041091918945,39.43085479736328,2,1.0086404085159302,0.23847143
200,1.000583529472351,1000,199,-41.156314849853516,0.0007,215,0.10760235786437988,-8.194416046142578,4,0.30013471841812134,-2.352285
300,1.0019514560699463,1500,299,-41.19637680053711,0.0007,215,0.0,-202.32150268554688,6,27.728628158569336,5.1752777
400,1.00168776512146,2000,399,-41.193031311035156,0.0007,215,0.22096240520477295,53.825172424316406,9,2.476224184036255,3.342863
500,1.0025534629821777,2500,499,-41.211769104003906,0.0007,215,0.0,577.5150146484375,11,210.3795623779297,-14.690316
600,1.0046238899230957,3000,599,-41.27263259887695,0.0007,215,0.4378798007965088,80.21562194824219,13,4.6428680419921875,0.09513837
700,1.0043630599975586,3500,699,-41.27021789550781,0.0007,215,-0.09799301624298096,-126.85942077636719,16,9.564993858337402,-3.6194355
800,1.0025343894958496,4000,799,-41.21468734741211,0.0007,215,0.0,-100.3584213256836,18,19.047428131103516,-3.803628
900,1.002101182937622,4500,899,-41.20014190673828,0.0007,215,0.0,215.7898712158203,20,41.348106384277344,-0.76724225
1000,1.0022177696228027,5000,999,-41.203609466552734,0.0007,215,0.0,-345.0699462890625,23,69.31885528564453,-7.728193
1100,1.002913236618042,5500,1099,-41.22528076171875,0.0007,215,0.0,-407.51470947265625,25,98.9959945678711,0.58254445
1200,1.0047101974487305,6000,1199,-41.27629089355469,0.0007,215,0.0,-149.16864013671875,27,16.173124313354492,0.38486138
1300,1.0048973560333252,6500,1299,-41.27850341796875,0.0007,215,0.0,-151.78565979003906,30,17.974382400512695,-4.5784574
1400,1.0068191289901733,7000,1399,-41.336666107177734,0.0007,215,0.0,228.1558074951172,32,47.94428253173828,0.07430736
1500,1.0092679262161255,7500,1499,-41.396663665771484,0.0007,215,0.0,272.20465087890625,34,73.46940612792969,9.828116
1600,1.0123728513717651,8000,1599,-41.492576599121094,0.0007,215,0.0,-243.545654296875,37,37.3913459777832,0.16441618
1700,1.0144366025924683,8500,1699,-41.55107879638672,0.0007,215,0.0,202.4040985107422,39,105.3018798828125,2.669232
1800,1.0115785598754883,9000,1799,-41.46486282348633,0.0007,215,-0.011490583419799805,-37.167625427246094,41,1.1152616739273071,1.2985545
1900,1.0112628936767578,9500,1899,-41.450355529785156,0.0007,215,0.02665787935256958,-16.537010192871094,44,1.081362247467041,0.38324296
2000,1.0102776288986206,10000,1999,-41.42451858520508,0.0007,215,0.0,32.590240478515625,46,8.333362579345703,-2.8101103
2100,1.0117274522781372,10500,2099,-41.46837615966797,0.0007,214,0.0,443.85205078125,48,126.9544677734375,-0.06141323
2200,1.0114729404449463,11000,2199,-41.46012496948242,0.0007,215,0.0,-199.41067504882812,51,25.522125244140625,-14.4099865
2300,1.011491298675537,11500,2299,-41.45976257324219,0.0007,215,-0.0007737874984741211,-2926.846435546875,53,5083.2265625,-21.203352
2400,1.0103120803833008,12000,2399,-41.423580169677734,0.0007,215,0.02098482847213745,93.0185775756836,55,8.131820678710938,1.0443251
