gvkey,iid,datadate,tic,conm,divd,ajexdi,cshoc,cshtrd,eps,prccd,prchd,prcld,prcod,gsector
001447,01,20000103,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1887700.0000,5.3600,157.2500,164.5000,156.0000,,40
001447,01,20000104,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3046300.0000,5.3600,151.3125,155.8750,149.1250,,40
001447,01,20000105,AXP,AMERICAN EXPRESS CO,0.2250,3.0000,447673000.0000,2522700.0000,5.3600,147.2500,153.1250,147.2500,,40
001447,01,20000106,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3206800.0000,5.3600,150.2500,152.3750,145.5000,,40
001447,01,20000107,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1755400.0000,5.3600,152.4375,153.5000,148.5000,,40
001447,01,20000110,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1431500.0000,5.3600,154.5625,156.5625,151.8750,,40
001447,01,20000111,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2089100.0000,5.3600,156.0000,160.0000,153.7500,,40
001447,01,20000112,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1697200.0000,5.3600,155.1875,158.8750,153.4375,,40
001447,01,20000113,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1700300.0000,5.3600,156.0000,158.2500,154.2500,,40
001447,01,20000114,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1835400.0000,5.3600,159.5000,161.1250,157.6875,,40
001447,01,20000118,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1712000.0000,5.3600,151.5625,158.0000,151.5000,,40
001447,01,20000119,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1928200.0000,5.3600,148.9375,154.7500,148.7500,,40
001447,01,20000120,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3300100.0000,5.3600,152.4375,154.6250,148.3750,,40
001447,01,20000121,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1841300.0000,5.3600,151.6875,153.7500,150.9375,,40
001447,01,20000124,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2926400.0000,5.3600,152.0000,158.0000,150.6250,,40
001447,01,20000125,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2961700.0000,5.5400,158.3750,158.7500,151.6250,,40
001447,01,20000126,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3850400.0000,5.5400,159.7500,164.0625,159.5000,,40
001447,01,20000127,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1819300.0000,5.5400,162.9375,164.2500,160.0625,,40
001447,01,20000128,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2103800.0000,5.5400,158.2500,162.2500,157.7500,,40
001447,01,20000131,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2165600.0000,5.5400,164.7500,165.7500,156.8125,,40
001447,01,20000201,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2707500.0000,5.5400,169.0000,169.5000,163.8125,,40
001447,01,20000202,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2613300.0000,5.5400,164.1875,168.5000,163.6250,,40
001447,01,20000203,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2175100.0000,5.5400,162.8750,165.5000,160.6250,,40
001447,01,20000204,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1504100.0000,5.5400,161.4375,163.6250,160.6250,,40
001447,01,20000207,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1304400.0000,5.5400,162.4375,163.8750,160.9375,,40
001447,01,20000208,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1537200.0000,5.5400,163.0000,165.3125,162.7500,,40
001447,01,20000209,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2096100.0000,5.5400,156.5625,162.8750,155.0000,,40
001447,01,20000210,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1746600.0000,5.5400,154.5000,159.5000,153.6250,,40
001447,01,20000211,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1902600.0000,5.5400,153.5000,158.0625,151.9375,,40
001447,01,20000214,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1580900.0000,5.5400,154.0000,157.9375,153.5000,,40
001447,01,20000215,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,1362000.0000,5.5400,159.1250,159.6250,153.8125,,40
001447,01,20000216,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2222300.0000,5.5400,153.8438,156.7500,152.1250,,40
001447,01,20000217,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,4143400.0000,5.5400,147.9375,155.5000,142.8750,,40
001447,01,20000218,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,4526800.0000,5.5400,137.8750,147.9375,135.3750,,40
001447,01,20000222,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,4021000.0000,5.5400,139.1250,140.2500,137.6250,,40
001447,01,20000223,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3180900.0000,5.5400,138.1250,140.6875,136.6875,,40
001447,01,20000224,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,5794700.0000,5.5400,130.0000,138.5625,128.8750,,40
001447,01,20000225,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,4836400.0000,5.5400,124.7500,134.0000,124.0000,,40
001447,01,20000228,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,4773200.0000,5.5400,132.6250,135.5000,126.5000,,40
001447,01,20000229,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2497800.0000,5.5400,134.1875,136.1875,131.5000,,40
001447,01,20000301,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2272500.0000,5.5400,135.5000,137.4375,132.1875,,40
001447,01,20000302,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2540600.0000,5.5400,133.5625,137.4375,132.3750,,40
001447,01,20000303,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2560300.0000,5.5400,133.5000,138.3750,131.2500,,40
001447,01,20000306,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2129800.0000,5.5400,129.2500,133.7500,128.6250,,40
001447,01,20000307,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3253500.0000,5.5400,126.3750,130.0000,124.1250,,40
001447,01,20000308,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3314700.0000,5.5400,122.7500,126.6250,121.0625,,40
001447,01,20000309,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3746000.0000,5.5400,122.7500,124.3750,119.5000,,40
001447,01,20000310,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,3627400.0000,5.5400,126.6875,129.8125,121.8125,,40
001447,01,20000313,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2975500.0000,5.5400,126.5625,131.3750,122.3750,,40
001447,01,20000314,AXP,AMERICAN EXPRESS CO,,3.0000,447673000.0000,2737300.0000,5.5400,128.4375,132.3750,127.8750,,40
001447,01,20000315,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3267000.0000,5.5400,132.8750,134.2500,127.1875,,40
001447,01,20000316,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,5043800.0000,5.5400,143.7500,146.5625,136.5000,,40
001447,01,20000317,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3446100.0000,5.5400,143.6250,147.0000,141.0625,,40
001447,01,20000320,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2576200.0000,5.5400,142.0000,147.0000,140.9375,,40
001447,01,20000321,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3414700.0000,5.5400,145.8750,149.0000,138.5000,,40
001447,01,20000322,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1859700.0000,5.5400,147.7500,147.7500,143.3750,,40
001447,01,20000323,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3298500.0000,5.5400,156.0000,156.0000,145.2500,,40
001447,01,20000324,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2842100.0000,5.5400,155.6250,157.3125,153.8125,,40
001447,01,20000327,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2053400.0000,5.5400,150.5000,156.0000,149.1250,,40
001447,01,20000328,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2343300.0000,5.5400,152.5000,154.8750,148.9375,,40
001447,01,20000329,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1779800.0000,5.5400,151.6250,154.6250,149.2500,,40
001447,01,20000330,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1985100.0000,5.5400,149.0000,152.6250,147.8750,,40
001447,01,20000331,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1849900.0000,5.5400,148.9375,150.5000,146.5000,,40
001447,01,20000403,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2621100.0000,5.5400,155.5000,157.1875,149.4375,,40
001447,01,20000404,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,4257900.0000,5.5400,147.0000,157.8125,142.6875,,40
001447,01,20000405,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2462100.0000,5.5400,144.5000,147.2500,143.3125,,40
001447,01,20000406,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2719900.0000,5.5400,141.0000,144.0625,140.0625,,40
001447,01,20000407,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2007100.0000,5.5400,139.0625,141.3750,138.6250,,40
001447,01,20000410,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2383300.0000,5.5400,143.1875,145.0000,138.1875,,40
001447,01,20000411,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2563000.0000,5.5400,145.1875,146.5000,141.0000,,40
001447,01,20000412,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3434500.0000,5.5400,150.7500,154.0000,146.1875,,40
001447,01,20000413,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2649700.0000,5.5400,146.0000,151.3750,145.0000,,40
001447,01,20000414,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,4567700.0000,5.5400,134.0000,144.0000,131.8125,,40
001447,01,20000417,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3076200.0000,5.5400,134.0000,136.3750,131.8750,,40
001447,01,20000418,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1925400.0000,5.5400,139.9375,140.6250,135.0000,,40
001447,01,20000419,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1630100.0000,5.5400,139.5000,140.7500,137.8125,,40
001447,01,20000420,AXP,AMERICAN EXPRESS CO,0.2400,3.0000,442738000.0000,1563000.0000,5.5400,143.0000,143.8750,138.6875,,40
001447,01,20000424,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,3298900.0000,5.5400,150.0625,151.1250,142.0000,,40
001447,01,20000425,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2815700.0000,5.7400,158.0000,158.0000,150.9375,,40
001447,01,20000426,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2326600.0000,5.7400,154.6250,159.7500,154.5000,,40
001447,01,20000427,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2406600.0000,5.7400,155.0000,155.1875,150.0000,,40
001447,01,20000428,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2298400.0000,5.7400,149.5000,156.8750,149.5000,,40
001447,01,20000501,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2564700.0000,5.7400,151.3750,153.2500,146.4375,,40
001447,01,20000502,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2053000.0000,5.7400,148.0625,151.3750,147.5000,,40
001447,01,20000503,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2496600.0000,5.7400,142.0000,149.7500,140.0000,,40
001447,01,20000504,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2026900.0000,5.7400,144.7500,147.2500,143.0625,,40
001447,01,20000505,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1707900.0000,5.7400,146.1250,146.6875,141.5000,,40
001447,01,20000508,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,1849600.0000,5.7400,152.0625,152.3125,144.8750,,40
001447,01,20000509,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2123000.0000,5.7400,148.0000,154.1250,147.6250,,40
001447,01,20000510,AXP,AMERICAN EXPRESS CO,,3.0000,442738000.0000,2964700.0000,5.7400,143.3750,150.3750,142.6250,,40
001447,01,20000511,AXP,AMERICAN EXPRESS CO,,1.0000,1328214000.0000,3331400.0000,1.9130,49.5000,49.5000,47.5000,,40
001447,01,20000512,AXP,AMERICAN EXPRESS CO,,1.0000,1328214000.0000,3162700.0000,1.9130,50.2500,50.6250,49.0000,,40
001447,01,20000515,AXP,AMERICAN EXPRESS CO,,1.0000,1328214000.0000,3402600.0000,1.9130,52.1875,52.3750,50.1875,,40
001447,01,20000516,AXP,AMERICAN EXPRESS CO,,1.0000,1328214000.0000,3539400.0000,1.9130,51.1250,52.6250,51.0625,,40
001447,01,20000517,AXP,AMERICAN EXPRESS CO,,1.0000,1335915000.0000,3122900.0000,1.9130,50.9375,51.7500,50.2500,,40
001447,01,20000518,AXP,AMERICAN EXPRESS CO,,1.0000,1335915000.0000,2727100.0000,1.9130,51.8125,52.3125,50.7500,,40
001447,01,20000519,AXP,AMERICAN EXPRESS CO,,1.0000,1335915000.0000,2851800.0000,1.9130,50.3125,51.1250,49.7500,,40
001447,01,20000522,AXP,AMERICAN EXPRESS CO,,1.0000,1335915000.0000,3002300.0000,1.9130,49.6250,50.6250,48.6875,,40
001447,01,20000523,AXP,AMERICAN EXPRESS CO,,1.0000,1335915000.0000,2749000.0000,1.9130,50.7500,50.8750,49.2500,,40
